"book_id","book_title","book_original_title","book_author","book_score","book_score_count","book_genre_info","book_similar","book_id_exists","","","","","","","",""
"147","Возмутители спокойствия","The Trouble Twisters","Пол Андерсон","7.70","290","wg1;wg3;wg52;wg89;wg127;wg90;wg103;wg142;wg150;wg106","","True","","","","","","","",""
"148","Треугольное колесо","The Three-Cornered Wheel","Пол Андерсон","7.84","341","wg1;wg3;wg52;wg89;wg127;wg103;wg142;wg150;wg106","","True","","","","","","","",""
"149","Невидимое солнце","A Sun Invisible","Пол Андерсон","7.52","271","wg1;wg3;wg52;wg89;wg127;wg90;wg103;wg142;wg150;wg106","","True","","","","","","","",""
"150","___","___","___","___","___","___","___","False","","","","","","","",""
"151","The Horn of Time","","Пол Андерсон","3.00","1","","","True","","","","","","","",""
"152","___","___","___","___","___","___","___","False","","","","","","","",""
"153","___","___","___","___","___","___","___","False","","","","","","","",""
"154","___","___","___","___","___","___","___","False","","","","","","","",""
"155","___","___","___","___","___","___","___","False","","","","","","","",""
"156","___","___","___","___","___","___","___","False","","","","","","","",""
"157","Прогресс","Progress","Пол Андерсон","6.92","39","wg1;wg15;wg52;wg69;wg201;wg203;wg148;wg102;wg212;wg150;wg106","","True","","","","","","","",""
"158","___","___","___","___","___","___","___","False","","","","","","","",""
"159","Сатанинские игры","Satan's World","Пол Андерсон","7.27","277","wg1;wg3;wg52;wg89;wg127;wg90;wg103;wg142;wg136;wg150;wg106","5703","True","","","","","","","",""
"160","За пределами пределов","Beyond the Beyond","Пол Андерсон","7.29","7","","","True","","","","","","","",""
"161","Тормоз","Brake","Пол Андерсон","6.72","48","wg1;wg3;wg52;wg89;wg90;wg103;wg154;wg150;wg106","","True","","","","","","","",""
"162","___","___","___","___","___","___","___","False","","","","","","","",""
"163","Мусорщики Луны","The Moonrakers","Пол Андерсон","6.31","29","wg1;wg3;wg34;wg52;wg89;wg122;wg90;wg103;wg154;wg150;wg106","","True","","","","","","","",""
"164","___","___","___","___","___","___","___","False","","","","","","","",""
"165","___","___","___","___","___","___","___","False","","","","","","","",""
"166","Seven Conquests","Другие названия: ""Conquests""","Пол Андерсон","5.50","2","","","True","","","","","","","",""
"167","___","___","___","___","___","___","___","False","","","","","","","",""
"168","Details","","Пол Андерсон","7.00","2","","","True","","","","","","","",""
"169","Inside Straight","","Пол Андерсон","6.50","2","","","True","","","","","","","",""
"170","___","___","___","___","___","___","___","False","","","","","","","",""
"171","Лицензия","License","Пол Андерсон","6.00","2","","","True","","","","","","","",""
"172","Strange Bedfellows","Другие названия: To Build a World","Пол Андерсон","7.50","2","","","True","","","","","","","",""
"173","___","___","___","___","___","___","___","False","","","","","","","",""
"174","Все круги ада","A Circus of Hell","Пол Андерсон","7.45","167","wg1;wg4;wg3;wg52;wg89;wg127;wg103;wg111;wg150;wg106","","True","","","","","","","",""
"175","Тау — Ноль","Tau Zero","Пол Андерсон","7.84","306","wg1;wg2;wg4;wg52;wg89;wg90;wg103;wg132;wg150;wg106","5610;2800;49739;602241;897479;809456;32188;349911;596111;15961;119811;39008;43870","True","","","","","","","",""
"176","Повести летающих гор","Tales of the Flying Mountains","Пол Андерсон","7.40","5","","","True","","","","","","","",""
"177","Танцовщица из Атлантиды","The Dancer from Atlantis","Пол Андерсон","7.27","223","wg1;wg13;wg52;wg69;wg71;wg190;wg95;wg255;wg109;wg165;wg150;wg106","2501;2641;41507","True","","","","","","","",""
"178","Операция «Хаос»","Operation Chaos","Пол Андерсон","7.84","563","wg19;wg24;wg21;wg52;wg78;wg150;wg106","2730;560;8882;33818;38232","True","","","","","","","",""
"179","Настанет время","There Will Be Times","Пол Андерсон","7.46","142","wg1;wg13;wg3;wg52;wg47;wg69;wg103;wg100;wg153;wg106","656;249;40342;5435;610959;390726","True","","","","","","","",""
